,Feature 1,Feature 2
136,clinical_pdl1_score,js_pdl1_score
137,js_pdl1_score,clinical_pdl1_score
138,js_pdl1_score,pixel_original_glcm_None_scale_None_channel_1_lognorm_fit_p2
139,pixel_original_glcm_None_scale_None_channel_1_lognorm_fit_p2,js_pdl1_score
140,pixel_original_glcm_Autocorrelation_scale_None_channel_1_lognorm_fit_p0,js_pdl1_score
141,js_pdl1_score,pixel_original_glcm_Autocorrelation_scale_None_channel_1_lognorm_fit_p0
142,XRayTubeCurrent_max,XRayTubeCurrent_range
143,XRayTubeCurrent_range,XRayTubeCurrent_max
144,pixel_original_glcm_None_scale_None_channel_1_variance,js_pdl1_score
145,js_pdl1_score,pixel_original_glcm_None_scale_None_channel_1_variance
